l_ukrainian:
 NUDGE_END_NODE_TITLE:0 "Немає вихідних шляхів"
 NUDGE_END_NODE_DESC:0 "Торговий вузол $NAME|Y$ не має вихідних торгових шляхів.\nБудь ласка, виберіть вузол з вихідними шляхами для редагування торговельних шляхів."
 LATENT_TRADE_GOODS_TOOLTIP_HEADER:0 "\nПриховані товари:\n$BODY$"
 LATENT_TRADE_GOODS_TOOLTIP_ONE:0 "$NAME|Y$\n$TRIGGER$"
 LATENT_TRADE_GOODS_TOOLTIP_SEVERAL_ENTRY:0 "$COL$$NAME$§!: $PERCENTAGE|%2Y$\n"
 LATENT_RESOURCE_DESC:0 "$GOODS|Y$ є прихованим ресурсом у цій провінції. Він може стати доступним пізніше."
 introduction_of_newcommen_engine:0 "Впровадження атмосферної парової машини"
 desc_introduction_of_newcommen_engine:0 "Підприємці в цій провінції почали використовувати атмосферну парову машину, значно збільшивши видобуток місцевих шахт."
 introduction_of_coke_blast_furnaces:0 "Впровадження коксових доменних печей"
 desc_introduction_of_coke_blast_furnaces:0 "Підприємці цієї провінції почали використовувати коксові доменні печі для виробництва заліза, що значно підвищило продуктивність."
 introduction_of_rotherham_plough:0 "Впровадження обертового плуга"
 desc_introduction_of_rotherham_plough:0 "Легкий і ефективніший обертовий плуг значно підвищив продуктивність у цьому регіоні."
 introduction_of_flying_shuttle:0 "Впровадження летючого човника"
 desc_introduction_of_flying_shuttle:0 "Впровадження летючого човника значно підвищило ефективність ткачів у цьому регіоні, разом з тим, це також спричинило певні заворушення серед місцевих ремісників."
 introduction_of_spinning_jenny:0 "Впровадження прядки 'Дженні'"
 desc_introduction_of_spinning_jenny:0 "Ткачі в цій провінції стрімко освоюють прядку 'Дженні'. Це значно збільшує їхню продуктивність, попри деякі заворушення, серед тих, хто відчуває загрозу від цієї розробки."
 introduction_of_watt_engine:0 "Впровадження парової машини"
 desc_introduction_of_watt_engine:0 "Прийняття сучасної парової машини прискорить стрімкий розвиток цієї провінції."
 canals_and_turnpikes:0 "Канали і магістралі"
 desc_canals_and_turnpikes:0 "Ініціативи щодо збільшення товарообігу в цій провінції, нарешті, дозволили місцевим підприємствам розширюватися і процвітати."
 agricultural_revolution:0 "Революція в землеробстві"
 desc_agricultural_revolution:0 "Ця провінція значно виграє від досягнень, досягнутих у сільськогосподарських технологіях і методології."
