l_ukrainian:
 centralize_state:0 "Централізувати володіння"
 CENTRALIZE_STATE_DESC:5 "§YЦентралізувати володіння§!\nВитратити $COST|Y$ прогресу урядових реформ і $POWER_COST|Y$£adm£, щоб централізувати володіння $STATE|Y$ у найрозвиненішій провінції, через що держава отримає такі ефекти:\nМісцевий вплив на ліміт управління: §G-25.0%§!\nУтримання володінь: §G-20.0%§!\nМісцеве зростання добробуту: §G+0.10§!\n\nНа це піде $YEARS|0Y$ років."
 CENTRALIZE_STATE_COST:0 "У вас недостатньо прогресу урядових реформ"
 CENTRALIZE_STATE_TERRITORY:0 "Ви можете централізувати лише володіння, а не територію."
 CENTRALIZE_STATE_DEV:1 "Вартість управління володінням $STATE$ має становити $STATE_DEV|0$ розвитку або вище"
 CENTRALIZE_STATE_PROVINCES:0 "Вам не належать усі провінції володіння"
 CENTRALIZE_STATE_DONE:0 "Ви вже централізували це володіння"
 CENTRALIZE_STATE_PROGRESS:0 "Будівництво вже триває. Воно завершиться до $DATE$"
 CONFIRM_CENTRALIZE_STATE:0 "Централізувати володіння $STATE$"
 CONFIRM_CENTRALIZE_STATE_TEXT:4 "Впевнені, що хочете витратити $COST|0Y$ прогресу урядових реформ і $POWER_COST|Y$£adm£, щоб централізувати володіння $STATE|Y$ в провінції $PROVINCE|Y$?\nВолодіння $STATE|Y$ отримає такі ефекти:\nВплив на ліміт управління: §G-25.0%§!\nУтримання володінь: §G-20.0%§!\nМісцеве зростання добробуту: §G+0.10§!\n\nНа це піде $YEARS|0Y$ років."
 CENTRALIZE_STATE_CONSTRUCTION_TITLE:0 "Централізацію володіння завершено"
 CENTRALIZE_STATE_CONSTRUCTION_SETUP:0 "Коли централізацію володіння завершено."
 CENTRALIZE_STATE_CONSTRUCTION_1:0 "Централізацію володіння завершено"
 CENTRALIZE_STATE_CONSTRUCTION_2:0 "Будівництво в провінції $PROVINCE$ завершено."
 CENTRALIZE_STATE_CONSTRUCTION_3:1 "Тепер $STATE|Y$ є централізованим володінням."
 CENTRALIZE_STATE_CONSTRUCTION_LOG:0 "Будівництво централізації володіння завершено в провінції $PROVINCE$."
 CENTRALIZE_STATE_CONSTRUCTION_BTN1:0 "Гаразд"
 CENTRALIZE_STATE_CONSTRUCTION_CANCEL_TITLE:0 "Централізацію володіння скасовано"
 CENTRALIZE_STATE_CONSTRUCTION_CANCEL_SETUP:0 "Коли централізацію володіння скасовано через зміну власника або володіння стає територією."
 CENTRALIZE_STATE_CONSTRUCTION_CANCEL_1:0 "Централізацію володіння скасовано"
 CENTRALIZE_STATE_CONSTRUCTION_CANCEL_2:0 "Будівництво в провінції $PROVINCE$ скасовано."
 CENTRALIZE_STATE_CONSTRUCTION_CANCEL_LOG:0 "Будівництво централізації володіння скасовано в провінції $PROVINCE$."
 CENTRALIZE_STATE_CONSTRUCTION_CANCEL_BTN1:0 "Гаразд"
 CENTRALIZE_STATE_CANCEL_TITLE:0 "Будівництво централізації володіння вилучено"
 CENTRALIZE_STATE_CANCEL_SETUP:0 "Коли будівництво централізації володіння вилучено через зміну власника."
 CENTRALIZE_STATE_CANCEL_1:0 "Будівництво централізації володіння вилучено"
 CENTRALIZE_STATE_CANCEL_2:0 "Будівництво в провінції $PROVINCE$ вилучено."
 CENTRALIZE_STATE_CANCEL_3:1 "Вам не належать усі провінції володіння."
 CENTRALIZE_STATE_CANCEL_LOG:0 "Будівництво централізації володіння вилучено в провінції $PROVINCE$."
 CENTRALIZE_STATE_CANCEL_BTN1:0 "Гаразд"
 CONFIRMABANDONSTATECENTRALIZED:0 "$STATE$ більше не буде централізованим володінням."
 INFLACTION_REDUCTION:0 "Модифікатори зниження інфляції:\n"
 MODIFIER_STATE_GOVERNING_INCREASE_COST:0 "Вартість збільшення ліміту управління"
 CENTRALIZE_STATE_CAPITAL:0 "Ви не можете централізувати своє столичне володіння"
 WARNING_CONSTRUCTION_LOST:0 "Будівництво ваших кораблів буде скасовано, якщо в новій провінції не буде порта"
 CONSTRUCTION_LOST_TITLE:0 "Будівництво кораблів скасовано"
 CONSTRUCTION_LOST_SETUP:0 "При міграції деякі споруди вилучаються через те, що вони неприпустимі в новій провінції."
 CONSTRUCTION_LOST_1:0 "Будівництво скасовано"
 CONSTRUCTION_LOST_2:0 "Будівництво кораблів було скасовано через міграцію"
 CONSTRUCTION_LOST_3:0 "Ви не можете будувати кораблі, якщо у вас немає порту"
 CONSTRUCTION_LOST_LOG:0 "Кораблі втрачено через міграцію до нової провінції"
 CONSTRUCTION_LOST_BTN1:0 "Гаразд"
 PRIMARY_LOCAL:0 "§YОсновний гравець§!\nЦей гравець отримає всі події.\n"
 NOT_PRIMARY_LOCAL:0 "§YSecondary controller§!\nЦей гравець не отримуватиме події.\n"
 PRIMARY_LOCAL_OBSERVER:0 "§YОсновний гравець§!\nЦей гравець знаходиться в режимі спостереження, він буде бачити події лише обраної у грі держави.\n"
 COOP_NOT_ENABLED:0 "§RКооперативний режим не ввімкнено§!\n"
 KICK_PLAYER:0 "Клацніть правою кнопкою миші, щоб вилучити гравця з гри.\n"
